date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:38	14992/14992	---M--	200	added ('OK')	font/woff2	etag:%225f99e3aa-3a90%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.woff2	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.woff2	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:39	40904/40904	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f99e3aa-9fc8%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.eot	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.eot	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:41	41960/41960	---M--	200	added ('OK')	application/octet-stream	etag:%225f99e3a9-a3e8%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Italic.ttf	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Italic.ttf	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:41	21064/21064	---M--	200	added ('OK')	font/woff	etag:%225f99e3aa-5248%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.woff	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.woff	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:42	40904/40904	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f99e3aa-9fc8%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.eot?	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Boldd41d.eot	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:44	14960/14960	---M--	200	added ('OK')	font/woff2	etag:%225f99e3a9-3a70%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.woff2	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.woff2	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:45	40762/40762	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f99e3a9-9f3a%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.eot	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.eot	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:45	20952/20952	---M--	200	added ('OK')	font/woff	etag:%225f99e3a9-51d8%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.woff	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.woff	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:46	40676/40676	---M--	200	added ('OK')	application/octet-stream	etag:%225f99e3aa-9ee4%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.ttf	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamProNarrow-Bold.ttf	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:48	15304/15304	---M--	200	added ('OK')	font/woff2	etag:%225f99e3a9-3bc8%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-BoldItalic.woff2	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-BoldItalic.woff2	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
10:58:50	40762/40762	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f99e3a9-9f3a%22	http://tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Medium.eot?	C:/Musa/Test/Test/tornado.storeminsk.of.by/fonts/gotham-pro/GothamPro-Mediumd41d.eot	(from http://tornado.storeminsk.of.by/fonts/gotham-pro/index.css)
